x_rk4,y_rk4,x_euler,y_euler
-2226.5054717503685,-2004.754531415298,-2317.9654405816605,-2087.1054572423523
1614.939981969029,2067.0289164153014,1645.0622763790345,2105.583695087848
727.5886192346773,3151.532550618731,723.2286894549583,3132.6476199642993
-1199.7540833791898,3924.2187851578583,-1129.9125632030864,3695.7774660109403
2681.1342033283013,-768.8028614045066,2655.095200253129,-761.3362974229423
3138.655629140647,-2365.1466612168624,3119.5911911292437,-2350.780576740439
-1341.4088919282601,-904.7917221737746,-1331.4724414137509,-898.0895016745552
536.8698872987186,-2003.6256964526003,531.3318295068125,-1982.9573833979518
2743.106385176095,3155.5829231528073,2745.005034916463,3157.767069830504
-4464.958281009826,-4623.599649795902,-4400.501430009463,-4556.852626653556
-1108.4983858759203,1188.7189841262025,-1104.582975341037,1184.5202203816953
1055.7644299467922,1828.6376334918345,1046.884889739695,1813.2578187052936
254.66233362727593,-1310.1241311785723,252.3271340117612,-1298.110570618483
1668.8065217816234,-3275.217211304128,1664.1626033574469,-3266.1030082181283
-1142.5819220309668,-830.1343580856026,-1128.9657890601495,-820.2416584153277
-1034.3007895922822,-145.3614963026417,-1051.9123531882142,-147.8366401508281
-1678.3220049815366,-1930.688611674584,-1678.1296601245003,-1930.4673442277588
-1024.0917290632283,393.1119833646066,-1023.4906414316922,392.8812474409552
961.815675489908,724.7800977177762,956.2802334947245,720.6088429831954
-1069.4592176078252,-1585.5384934415342,-1055.4666519963582,-1564.79366181662
-259.18277980670524,531.4034491088887,-257.43068437486824,527.8111211141796
-441.4486336582412,5045.780971696223,-460.2688908493834,5260.8974957424025
710.8867659969914,-1759.5064887867804,775.4094343859167,-1919.205697063547
-2506.2068815254133,-1332.5738366019648,-2494.04662607862,-1326.1081140894921
-2773.3129622944175,489.0099012010231,-2779.431168043261,490.0887059480711
-4260.7197723333275,-751.2798531003938,-4145.701487390993,-730.9990261902469
-4580.271352081769,-562.3866067815118,-4316.964359170813,-530.0565732742756
-581.8968408971307,1790.894327563391,-577.8392863871862,1778.4064588469416
1697.1995140468034,148.48571722080257,1704.8570368171702,149.15566365390112
-632.4485479806386,-549.7791351106987,-633.332137098496,-550.5472274125299
-1088.2651284513859,191.89050431014257,-1068.9326140083513,188.4816604088993
604.7247317518038,2425.418424147714,585.764693403219,2349.373863840102
1855.6527267739873,-905.0623079087765,1839.961928015572,-897.4093940136688
-1127.1168092972239,-1551.343198575854,-1129.2485398478434,-1554.277273965042
-3154.904836834353,1404.6541327773002,-3118.684688324432,1388.5278836745501
3250.831422333909,-456.8745615715721,3191.713453823105,-448.5660729311533
-3198.110160508027,279.7983837515257,-3064.876572859879,268.1419552314248
2043.8909469783914,-547.6589286601418,2021.8190303362728,-541.74477642048
1033.4467436501684,898.3615484944576,1037.9497479102279,902.2759503780565
-279.2210310206676,226.10873265278454,-280.6222788791825,227.2434407951588
2757.8693301287526,2571.7547559414247,2663.548114810264,2483.7987997141004
-3430.5631656538776,-1114.6575416920546,-3466.7382052440253,-1126.4115245668982
-3702.6160222202707,-652.8711039208869,-3673.511169631487,-647.7391331399419
-421.2215508966101,-467.8139259415363,-416.38195594172026,-462.4390112179324
4406.996788205401,-1098.787707739566,4495.095051653403,-1120.7530718190078
-5868.462713372925,-720.5566174365622,-5921.777512175829,-727.1028515972031
-1369.2278707598591,2575.1430936278734,-1355.6979613518213,2549.697034930441
-106.78085129103235,-1527.0373169206352,-106.26514833853919,-1519.6624211094302
2808.231208070282,2908.008544089484,2914.4136020527017,3017.963631849139
-362.64662025578224,4145.069836943225,-369.5898133153222,4224.430896761935
-559.7055509968029,-4558.435904978375,-523.9919803302048,-4267.5722132896435
2134.7036252594553,3287.1553206650046,2133.784362749479,3285.7397805333494
1447.8738756096513,-203.48540302196767,1425.7524281834144,-200.376436335859
-1931.2070398283956,590.4292443244975,-1942.2576763350721,593.8077629542355
564.6945188573062,473.8349625009975,542.4667857256115,455.1836798282847
4225.493294251301,-147.55747731747462,4158.577046315614,-145.22071044806003
