x,y
0.812502002,0.087936769
0.176883095,0.640231623
0.11398513,0.405056747
0.529378752,0.407980369
0.366015673,0.622227188
0.770004831,0.710044568
0.627285921,0.728339697
0.634872294,0.131112945
0.742819517,0.348348707
0.182863423,0.747637031
0.589920642,0.683777659
0.272241895,0.648806274
0.859402847,0.379247197
0.982782126,0.129797204
0.244101328,0.84163333
0.49098611,0.048056343
0.520250199,0.479439236
0.138946973,0.392540115
0.967653365,0.050190107
0.90781609,0.467399387
0.114849118,0.604364253
0.504858954,0.850700359
0.455698238,0.662055414
0.309980278,0.551930714
0.965006024,0.662225784
0.684821678,0.828395093
0.668732321,0.854244735
0.066750888,0.667585705
0.595028249,0.158096331
0.289620703,0.61800025
0.618829532,0.709002374
0.482476188,0.277156178
0.962189286,0.051033428
0.840689583,0.39291213
0.134503974,0.155231154
0.345103916,0.549949089
0.033713244,0.986029151
0.378039828,0.584031308
0.15793151,0.347319533
0.310989459,0.809105415
0.985895974,0.836622767
0.100547096,0.383403252
0.070852497,0.198705511
0.838982352,0.204168834
0.109808692,0.394709345
0.48375557,0.390974197
0.939718951,0.414076472
0.309590057,0.655588085
0.384560571,0.554770613
0.937206539,0.336586497
0.808065936,0.37333973
0.550885716,0.515212893
0.769033321,0.308007477
0.902912378,0.624890899
0.174752347,0.149314503
0.140926392,0.982486343
0.540728431,0.023957637
0.757614565,0.826681864
0.464590842,0.73426122
0.737279795,0.222776979
0.608572675,0.874501003
0.787314871,0.432828178
0.483905263,0.26365306
0.089463706,0.127293606
0.70817764,0.669288762
0.73102817,0.164250417
0.774664337,0.746232336
0.46023367,0.33879031
0.638557583,0.267659662
0.109327953,0.44173824
0.500105583,0.781863396
0.119315365,0.197712299
0.646360633,0.874495474
0.148692589,0.604440833
0.520025805,0.506775368
0.237231759,0.098031455
0.616243798,0.346718264
0.625338672,0.345639656
0.502991951,0.536795875
0.679584571,0.657204987
0.248311626,0.995581475
0.962219785,0.050804097
0.094442986,0.137836659
0.040170519,0.593395588
0.643322714,0.959791019
0.585003154,0.560630462
0.700585441,0.874874161
0.917439948,0.31648405
0.945642103,0.08749167
0.101220053,0.445432921
0.983976438,0.848181112
0.071102916,0.465187084
0.103512035,0.629272874
0.757891214,0.692853081
0.781225783,0.836065313
0.702025997,0.611530438
0.854828834,0.130660983
0.318615691,0.394432156
0.092940803,0.595869095
